eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.8794413805007935,0.723404255319149,0.4824242424242424,0.5962962962962962,0.5333333333333333,0.3792,123.93,5.274,1.0,24,,,,,,,,
0.5245289206504822,0.8085106382978723,0.7674258109040718,0.7055555555555554,0.6962830451202544,0.2141,219.522,9.341,2.0,48,,,,,,,,
,,,,,,,,2.0833333333333335,50,0.8194,5.7258195877075195,1.7685185185185187e-05,,,,,
0.47578877210617065,0.851063829787234,0.8409090909090908,0.7796296296296296,0.7904761904761903,0.2644,177.787,7.565,3.0,72,,,,,,,,
0.5062037110328674,0.7446808510638298,0.6457326892109502,0.65,0.6427217915590009,0.1836,256.059,10.896,4.0,96,,,,,,,,
,,,,,,,,4.166666666666667,100,0.3326,7.017481327056885,1.3055555555555557e-05,,,,,
0.6184631586074829,0.851063829787234,0.8463768115942029,0.7796296296296296,0.7916852794901575,0.1809,259.827,11.056,5.0,120,,,,,,,,
0.5331542491912842,0.8297872340425532,0.7907894736842106,0.7814814814814816,0.7844724934508216,0.1788,262.899,11.187,6.0,144,,,,,,,,
,,,,,,,,6.25,150,0.1061,3.740441083908081,8.425925925925926e-06,,,,,
0.6078211665153503,0.8297872340425532,0.7907894736842106,0.7814814814814816,0.7844724934508216,0.1913,245.646,10.453,7.0,168,,,,,,,,
0.6637669205665588,0.8297872340425532,0.7907894736842106,0.7814814814814816,0.7844724934508216,0.1867,251.69,10.71,8.0,192,,,,,,,,
,,,,,,,,8.333333333333334,200,0.0239,0.08638948202133179,3.796296296296297e-06,,,,,
0.7121398448944092,0.8085106382978723,0.7602339181286549,0.7444444444444445,0.7478632478632479,0.1944,241.711,10.286,9.0,216,,,,,,,,
0.7194510102272034,0.8085106382978723,0.7602339181286549,0.7444444444444445,0.7478632478632479,0.2034,231.069,9.833,10.0,240,,,,,,,,
,,,,,,,,10.0,240,,,,418.1458,8.944,0.574,492022091151360.0,0.2682387142131726
0.7963907718658447,0.8085106382978723,0.7594997594997595,0.7473684210526316,0.7517803517803517,0.244,192.587,8.195,10.0,240,,,,,,,,
0.6184631586074829,0.851063829787234,0.8463768115942029,0.7796296296296296,0.7916852794901575,0.1889,248.747,10.585,10.0,240,,,,,,,,
0.7963907718658447,0.8085106382978723,0.7594997594997595,0.7473684210526316,0.7517803517803517,0.1874,250.814,10.673,10.0,240,,,,,,,,
