eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.7410185933113098,0.7872340425531915,0.5253623188405797,0.65,0.5802879291251384,0.4272,110.03,4.682,1.0,24,,,,,,,,
0.521699845790863,0.8297872340425532,0.8814229249011859,0.7240740740740742,0.7157857646229738,0.2386,196.951,8.381,2.0,48,,,,,,,,
,,,,,,,,2.0833333333333335,50,0.728,6.370847702026367,7.958333333333333e-06,,,,,
0.469514936208725,0.8085106382978723,0.7571428571428571,0.7444444444444445,0.7473684210526316,0.2295,204.805,8.715,3.0,72,,,,,,,,
0.4651973843574524,0.8297872340425532,0.7904761904761904,0.7611111111111111,0.7674226215946369,0.1862,252.419,10.741,4.0,96,,,,,,,,
,,,,,,,,4.166666666666667,100,0.3401,5.429769039154053,5.8750000000000005e-06,,,,,
0.5512146353721619,0.7872340425531915,0.7149122807017544,0.6907407407407408,0.6788766788766788,0.1858,252.908,10.762,5.0,120,,,,,,,,
0.5404770374298096,0.8085106382978723,0.7571428571428571,0.7444444444444445,0.7473684210526316,0.1945,241.605,10.281,6.0,144,,,,,,,,
,,,,,,,,6.25,150,0.1844,6.088840007781982,3.7916666666666666e-06,,,,,
0.535777747631073,0.8297872340425532,0.7907894736842106,0.7814814814814816,0.7844724934508216,0.1895,247.965,10.552,7.0,168,,,,,,,,
0.6010478734970093,0.7872340425531915,0.7206349206349206,0.7074074074074074,0.7068376068376069,0.2042,230.185,9.795,8.0,192,,,,,,,,
,,,,,,,,8.333333333333334,200,0.1053,4.318957805633545,1.7083333333333334e-06,,,,,
0.629058837890625,0.8085106382978723,0.7571428571428571,0.7444444444444445,0.7473684210526316,0.1955,240.459,10.232,9.0,216,,,,,,,,
0.6602107286453247,0.7659574468085106,0.6757575757575758,0.6703703703703704,0.6619047619047619,0.1982,237.105,10.09,10.0,240,,,,,,,,
,,,,,,,,10.0,240,,,,347.0304,10.777,0.692,492022091151360.0,0.2965451637903849
