link,judul,tanggal,portal
https://www.forbes.com/sites/willhorton1/2020/07/10/new-bali-flights-to-la-and-san-francisco-wont-bring-garuda-financial-paradise/,New Bali Flights To L.A. And San Francisco Won’t Bring Garuda Financial Paradise,2020-07-10,Forbes
https://onemileatatime.com/garuda-indonesia-bali-flights/,Garuda Indonesia Plans Nonstop Bali To US Flights,2020-07-09,One Mile at a Time
https://liveandletsfly.com/garuda-indonesia-usa/,"Seriously? Garuda Indonesia Plans Direct Flights From Bali To USA, France",2020-07-09,Live and Let's Fly
https://airlinegeeks.com/2020/07/08/garuda-indonesia-set-to-launch-direct-flight-to-bali-from-u-s-france-and-india/,"Garuda Indonesia Set to Launch Nonstop Flight to Bali from U.S., France and India",2020-07-08,AirlineGeeks.com
https://simpleflying.com/garuda-indonesia-airbus-a330-taxiway-excursion/,Garuda Indonesia A330 Gets Stuck In The Mud At Makassar,2020-07-01,Simple Flying
https://www.businessinsider.com/flight-attendants-masks-smiles-complaints-garuda-indonesia-2020-6,An airline will stop flight attendants from wearing face masks after passengers complained they couldn't see their smiles,2020-06-18,Business Insider
https://www.aerotime.aero/articles/25225-garuda-indonesia-crew-to-stop-wearing-face-masks-for-smiles,Garuda Indonesia crew to stop wearing face masks for smiles,2020-06-17,AeroTime
https://mothership.sg/2020/06/garuda-mask-smile/,Garuda Indonesia flight attendants must not wear masks as passengers can't see if they’re smiling,2020-06-17,Mothership
https://www.malaymail.com/news/life/2020/06/17/garuda-indonesia-says-flight-attendants-will-forgo-masks-so-passengers-can/1876308,Garuda Indonesia says flight attendants will forgo masks so passengers can see if they’re smiling or frowning,2020-06-17,Malay Mail
https://malaysia.news.yahoo.com/garuda-indonesia-says-flight-attendants-071411704.html,Garuda Indonesia says flight attendants will forgo masks so passengers can see if they’re smiling or frowning,2020-06-17,Yahoo News Malaysia
https://www.thejakartapost.com/news/2020/05/11/government-drafts-1b-rescue-plan-to-save-garuda-indonesia.html,Government drafts $1b rescue plan to save Garuda Indonesia,2020-05-11,The Jakarta Post
https://www.straitstimes.com/asia/se-asia/former-garuda-indonesia-ceo-emirsyah-satar-jailed-for-8-years-for-bribery,Former Garuda Indonesia CEO Emirsyah Satar jailed for 8 years for bribery,2020-05-09,The Straits Times
https://www.thejakartapost.com/news/2020/04/30/garuda-indonesia-to-test-passengers-for-covid-19.html,Garuda Indonesia to test passengers for COVID-19,2020-04-30,The Jakarta Post
https://aviationweek.com/air-transport/airlines-lessors/garuda-indonesia-profitable-2019-current-outlook-uncertain,Garuda Indonesia Profitable in 2019; Current Outlook Uncertain,2020-04-02,Aviation Week Network
https://www.thejakartapost.com/travel/2020/03/20/garuda-indonesia-continues-to-fly-to-australia-netherlands-amid-covid-19-spread.html,"Garuda Indonesia continues to fly to Australia, Netherlands amid COVID-19 spread",2020-03-20,The Jakarta Post
https://www.thejakartapost.com/travel/2020/03/01/garuda-indonesia-citilink-cutairfares-to-10-indonesian-destinations.html,"Garuda Indonesia, Citilink cut airfares to 10 Indonesian destinations",2020-03-01,The Jakarta Post
https://www.thejakartapost.com/news/2020/02/28/it-affects-our-revenue-garuda-indonesia-suspends-more-flights-as-coronavirus-spreads.html,‘It affects our revenue’: Garuda Indonesia suspends more flights as coronavirus spreads,2020-02-28,The Jakarta Post
