link,judul,tanggal,portal,tag
https://kumparan.com/kumparanbisnis/garuda-indonesia-kembali-rupslb-di-tengah-isu-petinggi-singapore-airlines-masuk-25x9SDHX7i5,Garuda Indonesia Kembali RUPSLB di Tengah Isu Petinggi Singapore Airlines Masuk - kumparan.com,2025-09-30 00:00:00,Kumparan,Manajemen
https://www.bloombergtechnoz.com/detail-news/85519/garuda-gelar-rupslb-di-tengah-isu-masuknya-direksi-asing,Garuda Gelar RUPSLB di Tengah Isu Masuknya Direksi Asing,2025-09-29 00:00:00,Bloomberg Technoz,Manajemen
https://voi.id/ekonomi/519004/komisi-v-dpr-bakal-dalami-dugaan-mafia-jual-beli-jam-penerbangan,Komisi V DPR Bakal Dalami Dugaan Mafia Jual Beli Jam Penerbangan,2025-09-29 00:00:00,VOI.ID,Rute/Operasional
https://in.investing.com/news/company-news/garuda-indonesia-adds-air-cargo-capacity-to-webcargo-platform-93CH-5023129,Garuda Indonesia adds air cargo capacity to WebCargo platform,2025-09-29 00:00:00,Investing.com India,Lainnya
https://www.kompasiana.com/zainularifin2714/68da927c34777c0ef3200e93/rencana-merger-garuda-indonesia-pelita-air-efektifkah,Rencana Merger Garuda Indonesia - Pelita Air: Efektifkah? - Kompasiana.com,2025-09-29 00:00:00,Kompasiana.com,Lainnya
https://www.cnnindonesia.com/ekonomi/20250929205715-92-1279029/dony-oskaria-pastikan-merger-pelita-air-garuda-untunge,Dony Oskaria Pastikan Merger Pelita Air-Garuda Untunge,2025-09-29 00:00:00,CNN Indonesia,Lainnya
https://jambi.pikiran-rakyat.com/info-data/pr-3469681375/jadwal-kedatangan-pesawat-di-bandara-sultan-thaha-jambi?page=all,Jadwal Kedatangan Pesawat di Bandara Sultan Thaha Jambi - Jambian,2025-09-29 00:00:00,Jambian,Lainnya
https://www.idntimes.com/business/economy/danantara-janji-layanan-pelita-tak-menurun-usai-merger-dengan-garuda-00-3m8tp-gl0jb6,Danantara Janji Layanan Pelita Tak Menurun usai Merger dengan Garuda,2025-09-29 00:00:00,IDN Times,Lainnya
https://id.headtopics.com/news/garuda-spark-innovation-hub-dinilai-bantu-kembangkan-start-73612181,Garuda Spark Innovation Hub dinilai bantu kembangkan start up digital,2025-09-28 00:00:00,Head Topics,Lainnya
https://www.beritasatu.com/network/malukuterkini/685642/sempat-dialihkan-ke-sorong-garuda-akhirnya-mendarat-di-ambon,"Sempat Dialihkan ke Sorong, Garuda Akhirnya Mendarat di Ambon",2025-09-28 00:00:00,BeritaSatu.com,Lainnya
https://jambi.pikiran-rakyat.com/info-data/pr-3469679005/12-penerbangan-tiba-di-bandara-sultan-thaha-jambi-minggu-28-september-2025?page=all,"12 Penerbangan Tiba di Bandara Sultan Thaha Jambi, Minggu 28 September 2025 - Jambian",2025-09-28 00:00:00,Jambian,Rute/Operasional
https://garuda.tv/dian-sastro-dihadiahi-rentetan-pantun-di-dalam-pesawat/,Dian Sastro Dihadiahi Rentetan Pantun di dalam Pesawat,2025-09-28 00:00:00,garuda tv,Lainnya
